lon,lat,ndvi,lst_celsius,rainfall_mm,soil_moisture,rock_type,dist_to_occurrence_deg,label,rock_type_enc,prospectivity_score
79.52560631489094,21.283334869001763,0.4786851704120636,30.637878787878833,1179.9267499791458,0.36699944734573364,Archean crystalline metamorphic rocks,0.2617351169661196,0,0,0.0
80.10951124956863,21.615711524125988,0.3213976323604584,30.342432432432474,1399.7122035629727,0.3323935866355896,Archean crystalline metamorphic rocks,0.2694759032873306,0,0,0.0025
79.82654193507098,21.296809598263557,0.3418397605419159,31.35057142857147,1157.1738916817098,0.3494707942008972,Paleoproterozoic sedimentary rocks,0.25510178136492045,0,2,0.0
79.58848838477931,21.427065314460886,0.32431700825691223,29.692222222222256,1301.2249445393682,0.36269015073776245,Mesoproterozoic sedimentary and volcanic rocks,0.14619234544010748,0,1,0.02
79.82205035865039,21.566304183499412,0.45220378041267395,30.59058823529415,1346.6980395154096,0.34961286187171936,Mesoproterozoic sedimentary and volcanic rocks,0.08350965260583929,0,1,0.04
80.07807021462445,21.08570550649547,0.49866217374801636,32.0194444444445,1201.5908767704968,0.3703574538230896,Archean crystalline metamorphic rocks,0.5626099595339743,0,0,0.0
80.14993543735402,21.68308517043495,0.4281949996948242,31.118484848484854,1416.00762188941,0.3293049931526184,Archean crystalline metamorphic rocks,0.19098439961817454,0,0,0.0
80.06459548536266,21.60672837128479,0.3645906150341034,30.27342857142861,1370.9323327660277,0.3291155695915222,Archean crystalline metamorphic rocks,0.3010321096801614,0,0,0.0
80.43290475185167,21.651644135490766,0.4890344738960266,29.48485714285715,1519.1549862136599,0.21089336276054382,Archean crystalline metamorphic rocks,0.278482407202843,0,0,0.0
80.11400282598923,21.62469467696718,0.4164256751537323,30.662972972973023,1399.7122035629727,0.3323935866355896,Archean crystalline metamorphic rocks,0.25944037509742773,0,0,0.0
79.94332292200652,21.597745218443595,0.3895781636238098,31.171176470588307,1353.6184812504798,0.33052411675453186,Mesoproterozoic sedimentary and volcanic rocks,0.2085796965157547,0,1,0.0025
80.1813764722982,21.575287336340608,0.39668095111846924,31.039729729729743,1420.718883002959,0.34016817808151245,Archean crystalline metamorphic rocks,0.2825736597186199,0,0,0.0
